formula,class,Tc,reduced formula
Tl2Ba2Cu1O6,CuO,52,Tl2Ba2Cu1O6
Tl2Ba2Cu1O6,CuO,86.5,Tl2Ba2Cu1O6
Tl2Ba2Cu1O6,CuO,59,Tl2Ba2Cu1O6
Tl2Ba2Cu1O6,CuO,33,Tl2Ba2Cu1O6
Tl2Ba2Cu1O6.01,CuO,81,Tl200Ba200Cu100O601
Tl2Ba2Cu1O6.03,CuO,62,Tl200Ba200Cu100O603
Tl2Ba2Cu1O6.05,CuO,47,Tl40Ba40Cu20O121
Tl2Ba2Cu1O6.056,CuO,40,Tl250Ba250Cu125O757
Tl2Ba2Cu1O6.08,CuO,16,Tl50Ba50Cu25O152
Tl2Ba2Cu1O6.1,CuO,92.4,Tl20Ba20Cu10O61
Tl2Ba2Cu1O6.1,CuO,92.5,Tl20Ba20Cu10O61
Tl2Ba2Cu1O6.12,CuO,87.8,Tl50Ba50Cu25O153
Tl2Ba2Cu1O6.16,CuO,64.9,Tl50Ba50Cu25O154
Tl2Ba2Cu1O6.19,CuO,45.3,Tl200Ba200Cu100O619.00000000000
Tl2Ba2Cu2O6,CuO,80,Tl1Ba1Cu1O3
Tl2Ca2Ba2Cu3O10,CuO,119.95,Tl2Ca2Ba2Cu3O10
Tl2Ca2Ba2Cu3O10,CuO,118,Tl2Ca2Ba2Cu3O10
Tl2HgBa2Ca2Cu3O10,CuO,118.5,Tl2Hg1Ba2Ca2Cu3O10
Tl2Mo6Se6,other,2.6,Tl1Mo3Se3
Tl2Mo6Se6,other,4.2,Tl1Mo3Se3
Tl2Mo6Se6,other,5,Tl1Mo3Se3
Tl2Mo6Se6,other,6.5,Tl1Mo3Se3
Tl2Sr1Ca2Cu3O9,CuO,70,Tl2Sr1Ca2Cu3O9
Tl2Sr2Ca2Cu3O10,CuO,16,Tl2Sr2Ca2Cu3O10
Tl2Sr2Sr0.5Lu0.5Cu2O7,CuO,81.5,Tl4Sr4Sr1Lu1Cu4O14
Tl3Cr1Sr8Cu4O20,CuO,25,Tl3Cr1Sr8Cu4O20
Tl3Y1,other,1.52,Tl3Y1
Tm0.4Ba0.6Cu1O3,CuO,93,Tm2Ba3Cu5O15
Tm0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,CuO,79,Tm5Ca5Sr7Ba13Cu26C4O70
Tm0.5Pr0.5Ba2Cu3O6.64,CuO,36,Tm25Pr25Ba100Cu150O332
Tm0.5Pr0.5Ba2Cu3O6.95,CuO,28.9,Tm10Pr10Ba40Cu60O139
Tm0.6Pr0.4Ba2Cu3O6.95,CuO,50.3,Tm12Pr8Ba40Cu60O139
Tm0.7Pr0.3Ba2Cu3O6.95,CuO,64.1,Tm14Pr6Ba40Cu60O139
Tm0.84Lu0.16Fe3Si5,Fe-co,2.44,Tm21Lu4Fe75Si125
Tm0.8Lu0.2Fe3Si5,Fe-co,2.79,Tm4Lu1Fe15Si25
Tm0.8Pr0.2Ba2Cu3O6.95,CuO,77.9,Tm16Pr4Ba40Cu60O139
Tm0.8Pr0.2Ba2Cu3O7,CuO,81.8,Tm4Pr1Ba10Cu15O35
Tm0.8Pr0.2Ba2Cu3O7,CuO,80.9,Tm4Pr1Ba10Cu15O35
Tm0.93Ca0.07Ba2Cu4O8,CuO,83.3,Tm93Ca7.0000000000000Ba200Cu400O800
Tm0.95Ca0.05Ba2Cu4O8,CuO,84.8,Tm19Ca1Ba40Cu80O160
Tm0.97Ca0.03Ba2Cu4O8,CuO,81.2,Tm97Ca3Ba200Cu400O800
Tm0.99Ca0.01Ba2Cu4O8,CuO,79.2,Tm99Ca1Ba200Cu400O800
Tm0.9Ca0.1Ba2Cu3O7,CuO,86,Tm9Ca1Ba20Cu30O70
Tm0.9Lu0.1Fe3Si5,Fe-co,1.65,Tm9Lu1Fe30Si50
Tm0.9Pr0.1Ba2Cu3O6.95,CuO,87.9,Tm18Pr2Ba40Cu60O139
Tm1.2Mo6S8,other,1.95,Tm3Mo15S20
Tm1.2Pr0.8Ba4Cu7O14.652,CuO,50,Tm300Pr200Ba1000Cu1750O3663
Tm1.4Pr0.6Ba4Cu7O14.667,CuO,60,Tm1400Pr600Ba4000Cu7000O14667
Tm1.4Y3.6Rh6Sn18,other,3.14,Tm7Y18Rh30Sn90
Tm1.6Pr0.4Ba4Cu7O14.722,CuO,68,Tm800Pr200Ba2000Cu3500O7361
Tm1.83Ca0.17Cu1O3.99,CuO,30,Tm183Ca17.0000000000000Cu100O399
Tm1.83Ca0.17Cu1O4,CuO,30,Tm183Ca17.0000000000000Cu100O400
Tm1.8Pr0.2Ba4Cu7O14.725,CuO,76,Tm72Pr8Ba160Cu280O589
Tm1Ba1Sr1Cu3O6.94,CuO,70,Tm50Ba50Sr50Cu150O347
Tm1Ba2Cu2.55Fe0.45O7,CuO,55,Tm20Ba40Cu51Fe9O140
Tm1Ba2Cu2.55Ni0.45O7,CuO,80,Tm20Ba40Cu51Ni9O140
Tm1Ba2Cu2.775Ni0.225O7,CuO,82,Tm40Ba80Cu111Ni9O280
Tm1Ba2Cu2.7Fe0.3O7,CuO,77,Tm10Ba20Cu27Fe3O70
Tm1Ba2Cu2.7Ni0.3O7,CuO,80,Tm10Ba20Cu27Ni3O70
Tm1Ba2Cu2.85Fe0.15O7,CuO,86,Tm20Ba40Cu57Fe3O140
Tm1Ba2Cu2.85Ni0.15O7,CuO,84,Tm20Ba40Cu57Ni3O140
Tm1Ba2Cu2.925Fe0.075O7,CuO,89,Tm40Ba80Cu117Fe3O280
Tm1Ba2Cu2.925Ni0.075O7,CuO,86,Tm40Ba80Cu117Ni3O280
Tm1Ba2Cu3O6.41,CuO,19,Tm100Ba200Cu300O641
Tm1Ba2Cu3O6.44,CuO,28,Tm25Ba50Cu75O161.000000000000
Tm1Ba2Cu3O6.49,CuO,50,Tm100Ba200Cu300O649
Tm1Ba2Cu3O6.65,CuO,92.5,Tm20Ba40Cu60O133
Tm1Ba2Cu3O6.71,CuO,78,Tm100Ba200Cu300O671
Tm1Ba2Cu3O6.72,CuO,64.5,Tm25Ba50Cu75O168
Tm1Ba2Cu3O6.8,CuO,79.8,Tm5Ba10Cu15O34
Tm1Ba2Cu3O6.86,CuO,87.2,Tm50Ba100Cu150O343
Tm1Ba2Cu3O6.87,CuO,83.6,Tm100Ba200Cu300O687
Tm1Ba2Cu3O6.91,CuO,90.36,Tm100Ba200Cu300O691
Tm1Ba2Cu3O6.94,CuO,89.88,Tm50Ba100Cu150O347
Tm1Ba2Cu3O6.95,CuO,89,Tm20Ba40Cu60O139
Tm1Ba2Cu3O6.95,CuO,89.93,Tm20Ba40Cu60O139
Tm1Ba2Cu3O6.96,CuO,89.88,Tm25Ba50Cu75O174
Tm1Ba2Cu3O6.99,CuO,89.8,Tm100Ba200Cu300O699
Tm1Ba2Cu3O7,CuO,92,Tm1Ba2Cu3O7
Tm1Ba2Cu3O7,CuO,92.1,Tm1Ba2Cu3O7
Tm1Ba2Cu3O7,CuO,91.5,Tm1Ba2Cu3O7
Tm1Ba2Cu3O7,CuO,90,Tm1Ba2Cu3O7
Tm1Ba2Cu3O7,CuO,90.4,Tm1Ba2Cu3O7
Tm1Ba2Cu4O8,CuO,78.6,Tm1Ba2Cu4O8
Tm1Ba2Cu4O8,CuO,80,Tm1Ba2Cu4O8
Tm1Ba2Cu4O8,CuO,79.6,Tm1Ba2Cu4O8
Tm1Ba2Cu4O8,CuO,79,Tm1Ba2Cu4O8
Tm1Ba2Cu4O8,CuO,79.9,Tm1Ba2Cu4O8
Tm1Ir2Rh2B4,other,4.38,Tm1Ir2Rh2B4
Tm1Ir3.6Rh0.4B4,other,1.48,Tm5Ir18Rh2B20
Tm1Ir4B4,other,1.6,Tm1Ir4B4
Tm1Ir4B4,other,1.75,Tm1Ir4B4
Tm1Ni1.84Fe0.16B2C1,other,3.99,Tm25Ni46Fe4B50C25
Tm1Ni1.88Co0.24B2C1,other,1.6,Tm25Ni47Co6B50C25
Tm1Ni1.88Fe0.12B2C1,other,5.52,Tm25Ni47Fe3B50C25
Tm1Ni1.91Co0.18B2C1,other,3.2,Tm100Ni191Co18B200C100
Tm1Ni1.92Co0.16B2C1,other,4.4,Tm25Ni48Co4B50C25
Tm1Ni1.92Fe0.08B2C1,other,7.39,Tm25Ni48Fe2B50C25
Tm1Ni1.94Co0.12B2C1,other,5.9,Tm50Ni97Co6B100C50
Tm1Ni1.96Co0.08B2C1,other,7.7,Tm25Ni49Co2B50C25
Tm1Ni1.96Fe0.04B2C1,other,7.97,Tm25Ni49Fe1B50C25
Tm1Ni1.97Co0.06B2C1,other,8.7,Tm100Ni197Co6B200C100
Tm1Ni1.98Co0.04B2C1,other,9.2,Tm50Ni99Co2B100C50
Tm1Ni1.99Co0.02B2C1,other,10.3,Tm100Ni199Co2B200C100
Tm1Ni1.9Fe0.1B2C1,other,6.64,Tm10Ni19Fe1B20C10
Tm1Ni2B2C1,other,10,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.2,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.79,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.8,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.88,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.9,Tm1Ni2B2C1
Tm1Ni2B2C1,other,10.92,Tm1Ni2B2C1
Tm1Ni2B2C1,other,11,Tm1Ni2B2C1
Tm1Ni2B2C1,other,11.1,Tm1Ni2B2C1
Tm1Pd2Sn1,other,1.92,Tm1Pd2Sn1
Tm1Rh1.3Sn4,other,2.07,Tm10Rh13Sn40
Tm1Rh4B4,other,5.4,Tm1Rh4B4
Tm1Rh4B4,other,9.6,Tm1Rh4B4
Tm1Rh4B4,other,9.78,Tm1Rh4B4
Tm1Rh4B4,other,9.8,Tm1Rh4B4
Tm1Rh4B4,other,9.86,Tm1Rh4B4
Tm2Ba4Cu7O14.732,CuO,88,Tm500Ba1000Cu1750O3683
Tm2Fe3Si5,Fe-co,3.13,Tm2Fe3Si5
Tm2Fe3Si5,Fe-co,1.3,Tm2Fe3Si5
Tm2Fe3Si5,Fe-co,1.1,Tm2Fe3Si5
Tm2Rh3Sn5,other,1.8,Tm2Rh3Sn5
Tm4Os4Si13,other,2.6,Tm4Os4Si13
Tm4Os6Sn19,other,1.1,Tm4Os6Sn19
Tm4Rh6Sn19,other,2.3,Tm4Rh6Sn19
Tm4Y1Rh6Sn18,other,2.61,Tm4Y1Rh6Sn18
Tm5Ir4Si10,other,1.9,Tm5Ir4Si10
Tm5Rh2.4Co3.6Sn18,other,1.27,Tm25Rh12Co18Sn90
Tm5Rh3.6Co2.4Sn18,other,1.57,Tm25Rh18Co12Sn90
Tm5Rh4.8Co1.2Sn18,other,1.97,Tm25Rh24Co6Sn90
Tm5Rh6Sn18,other,2.19,Tm5Rh6Sn18
Tm5Rh6Sn18,other,2.25,Tm5Rh6Sn18
V0.003Ga0.974Pb0.026,other,13.2,V3Ga974Pb26
V0.26Zr0.74,other,5.9,V13Zr37
V0.45Nb0.5Zr1,other,4.3,V9Nb10Zr20
V0.4Zr0.6,other,7.8,V2Zr3
V0.55Ge0.1Al0.35,other,5.4,V11Ge2Al7
V0.5Nb2.5Sn1,other,14.2,V1Nb5Sn2
V0.5Sr2.25Ca1.75Cu3.5O9.7,CuO,98,V10Sr45Ca35Cu70O194
V0.5Sr2.3Ca4.7Cu6.5O15.5,CuO,75,V5Sr23Ca47Cu65O155
V0.5Sr2.4Ca3.6Cu5.5O13.55,CuO,75,V10Sr48Ca72Cu110O271
V0.5Sr2.6Ca5.4Cu7.5O17.3,CuO,73,V5Sr26Ca54Cu75O173
V0.5Sr2.7Ca2.3Cu4.5O11.6,CuO,107,V5Sr27Ca23Cu45O116
V0.63Si0.14Al0.23,other,9.7,V63Si14.0000000000000Al23
V0.65Ge0.15Al0.2,other,5.5,V13Ge3Al4
V0.65Ge0.1Al0.25,other,7,V13Ge2Al5
V0.65Ge0.25Al0.1,other,5.5,V13Ge5Al2
V0.65Si0.1Al0.25,other,9.9,V13Si2Al5
V0.683Ga0.22Al0.097,other,9.4,V683.00000000000Ga220Al97
V0.6Zr0.4,other,8.3,V3Zr2
V0.709Ga0.151Al0.14,other,9,V709Ga151Al140.000000000000
V0.725Ga0.203Al0.072,other,12.3,V725Ga203.000000000000Al72
V0.72Si0.17Al0.11,other,10.3,V72Si17.0000000000000Al11
V0.736Sb0.037Al0.227,other,6.4,V736Sb37Al227
V0.737Ga0.213Al0.05,other,12.6,V737Ga213Al50
V0.73Si0.23Al0.04,other,10.4,V73Si23Al4
V0.73Si0.25Al0.02,other,14,V73Si25Al2
V0.741Ga0.152Al0.107,other,11.4,V741Ga152Al107
V0.741Ga0.196Al0.063,other,12.2,V741Ga196Al63
V0.741Sb0.113Al0.146,other,6.1,V741Sb113Al146
V0.743Ga0.181Al0.076,other,12,V743Ga181Al76
V0.745Ga0.228Al0.027,other,13.05,V745Ga228Al27
V0.745Sb0.208Al0.025,other,2,V745Sb208Al25
V0.746Ga0.169Al0.085,other,11.8,V746Ga169Al85.000000000000
V0.746Sb0.179Al0.075,other,4.3,V746Sb179Al75
V0.747Ga0.131Al0.122,other,11.7,V747Ga131Al122
V0.749Sb0.157Al0.094,other,5.1,V749Sb157Al94
V0.751Sb0.208Al0.041,other,3.4,V751Sb208Al41
V0.75Ge0.025Al0.225,other,11.2,V30Ge1Al9
V0.75Ge0.13Al0.12,other,11.3,V75Ge13Al12
V0.75Ge0.15Al0.1,other,11.7,V15Ge3Al2
V0.75Ge0.175Al0.075,other,10.8,V30Ge7Al3
V0.75Ge0.1875Al0.0625,other,11.4,V12Ge3Al1
V0.75Ge0.2125Al0.0375,other,8.9,V60Ge17Al3
V0.75Ge0.225Al0.025,other,8.6,V30Ge9Al1
V0.75Ge0.2375Al0.0125,other,7.6,V60Ge19Al1
V0.75Ge0.2Al0.05,other,10.3,V15Ge4Al1
V0.75Si0.025Al0.225,other,9.8,V30Si1Al9
V0.75Si0.125Al0.125,other,10.4,V6Si1Al1
V0.75Si0.175Al0.075,other,11.1,V30Si7Al3
V0.75Si0.2125Al0.0375,other,12.6,V60Si17Al3
V0.75Si0.225Al0.025,other,13.5,V30Si9Al1
V0.75Si0.22Al0.03,other,13.3,V75Si22Al3
V0.75Si0.2Al0.05,other,11.8,V15Si4Al1
V0.767Ga0.086Al0.147,other,12.1,V7670Ga859.99999999999Al1470
V0.767Ga0.18Al0.053,other,11.5,V767Ga180Al53
V0.767Ga0.214Al0.022,other,12.1,V767Ga214Al22
V0.77Si0.21Al0.02,other,11.7,V77Si21Al2
V0.783Ga0.138Al0.079,other,10.2,V783Ga138.000000000000Al79
V0.784Ga0.172Al0.044,other,9.4,V7840Ga1719.99999999999Al440
V0.7Si0.2Al0.1,other,10.6,V7Si2Al1
V0.7Zr0.3,other,8.6,V7Zr3
V0.81Cr0.09Al0.1,other,1.46,V81.000000000000Cr9Al10
V1,other,5.15,V1
V1,other,5.16,V1
V1,other,5.17,V1
V1,other,5.2,V1
V1,other,5.24,V1
V1,other,5.3,V1
V1,other,5.32,V1
V1.5Nb1.5Sb1,other,7.4,V3Nb3Sb2
V1N1,other,8.65,V1N1
V1N1,other,9.25,V1N1
V1Nb2Sn1,other,9.8,V1Nb2Sn1
V1Ta2Sn1,other,3.7,V1Ta2Sn1
V2.49Mn0.42Si1,other,8.1,V249.000000000000Mn42Si100
V2.4Mo0.6Si1,other,4.54,V12Mo3Si5
V2.52Mo0.48Si1,other,5.1,V63Mo12Si25
V2.58Zr0.42Si1,other,8.8,V129Zr21Si50
V2.67Pd0.33Si1,other,7.5,V267Pd33Si100
V2.739Hf0.261Ga1,other,6.4,V2739Hf261Ga1000
V2.742Zr0.258Ga1,other,9.9,V1371Zr129Ga500
V2.754Ti0.246Ga1,other,13.4,V1377Ti123Ga500
V2.778La0.222Ga1,other,7.8,V1389La111Ga500
V2.781Co0.219Ga1,other,8.4,V2781Co219Ga1000
V2.793Ni0.207Ga1,other,11.9,V2793Ni207Ga1000
V2.799Cr0.201Ga1,other,12.6,V2799Cr201.000000000000Ga1000
V2.799Mo0.201Ga1,other,11.7,V2799Mo201.000000000000Ga1000
V2.79Ce0.21Ga1,other,7.5,V279Ce21Ga100
V2.79Mo0.21Si1,other,5.59,V279Mo21Si100
V2.7Cr0.3Si1,other,11.3,V27Cr3Si10
V2.7Mn0.3Si1,other,11.9,V27Mn3Si10
V2.7Nb0.3Si1,other,12.8,V27Nb3Si10
V2.7Ru0.3Si1,other,2.9,V27Ru3Si10
V2.7Ti0.3Si1,other,10.9,V27Ti3Si10
V2.7Zr0.3Si1,other,13.2,V27Zr3Si10
V2.802Ta0.198Ga1,other,12.3,V1401Ta99Ga500
V2.808Re0.192Si1,other,4.7,V351Re24Si125
V2.814Nb0.186Ga1,other,13.5,V1407Nb93Ga500
V2.865Fe0.135Ga1,other,10.1,V573.00000000000Fe27Ga200
V2.883W0.117Ga1,other,11.5,V2883W117Ga1000
V2.898Mn0.102Ga1,other,9,V28980Mn1019.99999999999Ga10000
V2.91Mo0.09Si1,other,10.4,V291Mo9Si100
V2.928Re0.072Ga1,other,10.8,V366Re9Ga125
V2.94Fe0.06Si1,Fe-co,13.4,V147Fe3Si50
V2.964Mo0.036Si1,other,14,V741Mo9Si250
V2.979Co0.021Si1,other,16.4,V2979Co21Si1000
V2.97Mo0.03Si1,other,16,V297.000000000000Mo3Si100
V2Hf0.84Nb0.16,other,10.67,V50Hf21Nb4
V2Hf0.87Ta0.13,other,10.45,V200Hf87Ta13
V2Hf0.8Ti0.2,other,8.8,V10Hf4Ti1
V2Hf0.95Y0.05,other,9.22,V40Hf19Y1
V2Hf0.9Nb0.1,other,9.93,V20Hf9Nb1
V2Hf0.9Ta0.1,other,9.82,V20Hf9Ta1
V2Hf0.9Ti0.1,other,9.19,V20Hf9Ti1
V2Hf0.9Y0.1,other,9.19,V20Hf9Y1
V2Ir1B2,other,1.12,V2Ir1B2
V2Nb1Sn1,other,5.5,V2Nb1Sn1
V2Ta1Sn1,other,2.8,V2Ta1Sn1
V2Zr1,other,7.7,V2Zr1
V2Zr1,other,7.83,V2Zr1
V2Zr1,other,7.9,V2Zr1
V2Zr1,other,8,V2Zr1
V2Zr1,other,8.5,V2Zr1
V2Zr1,other,8.54,V2Zr1
V2Zr1,other,8.8,V2Zr1
V2Zr1,other,8.85,V2Zr1
V2Zr1,other,9,V2Zr1
V3Ga0.1Sn0.9,other,3.8,V30Ga1Sn9
V3Ga0.2Si0.8,other,10.5,V15Ga1Si4
V3Ga0.4Si0.6,other,8.7,V15Ga2Si3
V3Ga0.5Sn0.5,other,5.6,V6Ga1Sn1
V3Ga0.6Si0.4,other,9.5,V15Ga3Si2
V3Ga0.78Sn0.22,other,6.9,V150Ga39Sn11
V3Ga0.793Sb0.207,other,6.9,V3000Ga793Sb207
V3Ga0.7Sn0.3,other,7.2,V30Ga7Sn3
V3Ga0.8Si0.2,other,11.9,V15Ga4Si1
V3Ga0.937In0.063,other,11.5,V3000Ga937In63
V3Ga0.957Ge0.043,other,13.1,V10000Ga3190Ge143.333333333333
V3Ga0.975Bi0.025,other,14.7,V120Ga39Bi1
V3Ga0.994Cd0.006,other,11.2,V1500Ga497Cd3
V3Ga0.999Zn0.001,other,10.2,V3000Ga999Zn1
V3Ga0.9Sn0.1,other,10.7,V30Ga9Sn1
V3Ge0.7Al0.3,other,11.17,V30Ge7Al3
V3Ge0.8Al0.2,other,11.02,V15Ge4Al1
V3Ge0.9Al0.1,other,8.8,V30Ge9Al1
V3Si0.1Ga0.9,other,10.6,V30Si1Ga9
V3Si0.25Ga0.75,other,8.1,V12Si1Ga3
V3Si0.2Ge0.8,other,6.1,V15Si1Ge4
V3Si0.2Sn0.8,other,6.4,V15Si1Sn4
V3Si0.46Ga0.54,other,7.4,V150Si23Ga27
V3Si0.4Ge0.6,other,7.2,V15Si2Ge3
V3Si0.4Sn0.6,other,9.8,V15Si2Sn3
V3Si0.52Ga0.48,other,7.8,V75Si13Ga12
V3Si0.5Ga0.5,other,8.6,V6Si1Ga1
V3Si0.68Ga0.32,other,9.4,V75Si17.0000000000000Ga8
V3Si0.6Al0.4,other,10.1,V15Si3Al2
V3Si0.6Ge0.4,other,8.7,V15Si3Ge2
V3Si0.6Sn0.4,other,9.7,V15Si3Sn2
V3Si0.72Ga0.28,other,10.5,V75Si18Ga7.0000000000000
V3Si0.76Al0.24,other,11.2,V75Si19Al6
V3Si0.76Be0.24,other,15.6,V75Si19Be6
V3Si0.79Ga0.21,other,10.7,V300Si79Ga21
V3Si0.87Ga0.13,other,13.3,V300Si87Ga13
V3Si0.8Al0.2,other,14,V15Si4Al1
V3Si0.8Sn0.2,other,12.85,V15Si4Sn1
V3Si0.986Sb0.014,other,10.5,V1500Si493Sb7
V3Si0.98Al0.02,other,16.12,V150Si49Al1
V3Si0.99Be0.01,other,16.6,V300Si99Be1
V3Si0.9Al0.1,other,14,V30Si9Al1
V3Si0.9Ge0.1,other,14,V30Si9Ge1
V50Ti40Mo10,other,6.2,V5Ti4Mo1
V50Ti40Ta10,other,4.6,V5Ti4Ta1
V50Ti40Zr10,other,5.5,V5Ti4Zr1
V50Ti45Mo5,other,6.9,V10Ti9Mo1
V50Ti45Ta5,other,4.55,V10Ti9Ta1
V50Ti45Zr5,other,7,V10Ti9Zr1
V50Ti49.5Ta0.5,other,4.505,V100Ti99Ta1
V50Ti49Mo1,other,6.9,V50Ti49Mo1
V50Ti49Ta1,other,4.51,V50Ti49Ta1
V50Ti49Zr1,other,7.7,V50Ti49Zr1
V66.6Zr33.3,other,9.64,V2Zr1
V75Ge12.5Sb12.49,other,4.71,V7500Ge1250Sb1249
V75Ge20Sb5,other,5.86,V15Ge4Sb1
V75Ge20Sn5,other,5.46,V15Ge4Sn1
V75Si12.5Ga12.5,other,8.15,V6Si1Ga1
V75Si12.5Ge12.5,other,8.58,V6Si1Ge1
V75Si2.57Ga22.4,other,13.32,V7500Si257Ga2240
V75Si20Ga5,other,12.33,V15Si4Ga1
V75Si20Ge5,other,12.15,V15Si4Ge1
V75Si5Ga20,other,10.58,V15Si1Ga4
V75Si5Ge20,other,6.76,V15Si1Ge4
W0.014Zr0.986,other,3.64,W7Zr493
W0.054Zr0.946,other,3.88,W27Zr473
W0.25Sn0.875Mo6S8,other,13.635,W2Sn7Mo48S64
W0.25Sr2Ce2.01Y0.99Cu2.75O11,CuO,53,W2500Sr20000Ce20099.9999999999Y9900Cu27500O110000
W0.474O0.106C0.42,other,3.85,W237O53C210
W0.801Zr0.199,other,2.01,W801Zr199
W1,other,0.0154,W1
W1,other,0.016,W1
W1.75Ru1.25B2,other,3.38,W7Ru5B8
W1F0.41O2.59,other,0.42,W100F41O259
W1F0.44O2.56,other,0.41,W25F11O64
W1F0.45O2.55,other,0.38,W20F9O51
W2Zr1,other,2.16,W2Zr1
W4.8Ta0.2Si1B2,other,6.5,W24Ta1Si5B10
W4.8Ta0.2Si1B2,other,6.5,W24Ta1Si5B10
W5Si1B2,other,5.8,W5Si1B2
W7Re13B1,other,7.1,W7Re13B1
W7Re13C1,other,7.3,W7Re13C1
Y0.12Er0.88Rh4B4,other,8.74,Y3Er22Rh100B100
Y0.14Tm0.85Ba2Cu3O7,CuO,91,Y14.0000000000000Tm85Ba200Cu300O700
Y0.15Dy0.85Ni2B2C1,other,4.3,Y3Dy17Ni40B40C20
Y0.16Lu0.84Ni2B2C1,other,15.2,Y4Lu21Ni50B50C25
Y0.19Ba1.99Cu2.85O7,CuO,94.5,Y19Ba199Cu285O700
Y0.1Gd0.9Ba2Cu3O8,CuO,90.5,Y1Gd9Ba20Cu30O80
Y0.1La0.9Ba2Cu3O7.05,CuO,79,Y2La18Ba40Cu60O141
Y0.25Cd0.75Ba2Cu3O7,CuO,53.2,Y1Cd3Ba8Cu12O28
Y0.25Eu0.75Ba2Cu4O8,CuO,75,Y1Eu3Ba8Cu16O32
Y0.25Pr0.75Sr2Cu2.8Re0.2O6,CuO,14,Y5Pr15Sr40Cu56Re4O120
Y0.25Pr0.75Sr2Cu2.8Re0.2O7,CuO,14,Y5Pr15Sr40Cu56Re4O140
Y0.28Er0.72Rh4B4,other,9.05,Y7.0000000000000Er18Rh100B100
Y0.2Ca0.4Pr0.4Ba2Cu3O7,CuO,36.5,Y1Ca2Pr2Ba10Cu15O35
Y0.2Eu0.8Ba2Cu3O7,CuO,93.8,Y1Eu4Ba10Cu15O35
Y0.2Gd0.8Ba2Cu3O7,CuO,92,Y1Gd4Ba10Cu15O35
Y0.2La0.8Ba2Cu3O7,CuO,81,Y1La4Ba10Cu15O35
Y0.2Lu0.8Ir4B4,other,3.04,Y1Lu4Ir20B20
Y0.2Lu0.8Ni2B2C1,other,14.68,Y1Lu4Ni10B10C5
Y0.2Pr0.3Ca0.5Ba2Cu3O7,CuO,105,Y2Pr3Ca5Ba20Cu30O70
Y0.2Yb0.8Ba2Cu3O6.91,CuO,91.4,Y20Yb80Ba200Cu300O691
Y0.35Pr0.65Ba1Sr1Cu3O6.9,CuO,20.3,Y7Pr13Ba20Sr20Cu60O138
Y0.35Pr0.65Ba1Sr1Cu3O7,CuO,17.9,Y7Pr13Ba20Sr20Cu60O140
Y0.38Ba1.74La0.88Cu3O6.95,CuO,25,Y38Ba174La88Cu300O695
Y0.3Ba0.7Cu1O3,CuO,95.5,Y3Ba7Cu10O30
Y0.3Cd0.7Ba2Cu3O7,CuO,87,Y3Cd7Ba20Cu30O70
Y0.3La0.7Ba2Cu3O6.98,CuO,82,Y15La35Ba100Cu150O349
Y0.3Lu0.7Ir4B4,other,2.98,Y3Lu7Ir40B40
Y0.3Lu0.7Ni2B2C1,other,15,Y3Lu7Ni20B20C10
Y0.3Pr0.7Ba1Sr1Cu3O6.95,CuO,14,Y6Pr14Ba20Sr20Cu60O139
Y0.3Pr0.7Ba2Cu4O8,CuO,23,Y3Pr7Ba20Cu40O80
Y0.3Pr0.7Ba2Cu4O8,CuO,20,Y3Pr7Ba20Cu40O80
Y0.3Pr0.7Ba2Cu4O8,CuO,29,Y3Pr7Ba20Cu40O80
Y0.3Pr0.7Sr2Cu2.7Mo0.3O7,CuO,12.2,Y3Pr7Sr20Cu27Mo3O70
Y0.3Pr0.7Sr2Cu2.85Re0.15O7,CuO,15.8,Y6Pr14Sr40Cu57Re3O140
Y0.4375La0.2625Pr0.3Ba2Cu3O7,CuO,28.9,Y35La21Pr24Ba160Cu240O560
Y0.44Pr0.56Ba2Cu3O6.93,CuO,2.1,Y44Pr56.000000000000Ba200Cu300O693
Y0.44Pr0.56Ba2Cu3O7,CuO,11,Y11Pr14.0000000000000Ba50Cu75O175
Y0.45Dy0.55Ni2B2C1,other,5.2,Y9Dy11Ni40B40C20
Y0.45Pr0.55Ba2Cu3O6.953,CuO,14.4,Y450Pr550Ba2000Cu3000O6953
Y0.45Pr0.55Ba2Cu3O6.98,CuO,10.1,Y45Pr55Ba200Cu300O698
Y0.47Er0.53Rh4B4,other,9.5,Y47Er53Rh400B400
Y0.47Pr0.53Ba2Cu3O6.96,CuO,13.5,Y47Pr53Ba200Cu300O696
Y0.47Pr0.53Ba2Cu3O7,CuO,8,Y47Pr53Ba200Cu300O700
Y0.4Ca0.3Pr0.3Ba2Cu3O7.02,CuO,53.6,Y20Ca15Pr15Ba100Cu150O351
Y0.4Ca0.6Ba1.1La0.9Cu3O7.12,CuO,82,Y20Ca30Ba55La45Cu150O356
Y0.4Ca0.6Ba1.2La0.8Cu3O7.07,CuO,82,Y40Ca60Ba120La80Cu300O707
Y0.4Cd0.6Ba2Cu3O7,CuO,91.7,Y2Cd3Ba10Cu15O35
